Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. 
8/17/2020 12:11,Hiroyuki Namba,187.96,"Vienna, Austria",Luo Guanzhong,"The Free, Independent, and Strictly Neutral city of Krakow",3,pizza,Fencing,daiquiri,3,More,1902,"""All worlds begin in darkness, and so shall all end."" -Ansem, Seeker of Darkness"
8/17/2020 12:12,Nico Collins,182.88,Tokyo,Mikhail Gorbachev,Iceland,3,pizza,Gymnastics,hors d'oeuvre,4,Less,1920,"7 times down, 8 times up"
8/17/2020 12:13,Led Zepplin,200.66,Florence,Mike Tyson,Greece,5,pizza,Basketball,hors d'oeuvre,6,Less,500 BC,Get comfortable being uncomfortable
8/17/2020 12:13,Post Malone,200.66,Seattle,Jackie Robinson,Australia,4,casserole,College Football,hors d'oeuvre,7,Less,Sometime in the 1970s,Hard work beats talent when talent doesn't work hard
8/17/2020 12:13,,187.96,New York City,Nikola Tesla,Melbourne,4,pizza,Football,hors d'oeuvre,5,Less,1920s,"Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve"
8/17/2020 12:13,Ed Sheeran,170.18,"Stuttgart, Germany",Michelle Obama,Thailand,5,pizza,Basketball,hors d'oeuvre,2,More,1999,"“To laugh often and much; to win the respect of the intelligent people and the affection of children; to earn the appreciation of honest critics and endure the betrayal of false friends; to appreciate beauty; to find the beauty in others; to leave the world a bit better whether by a healthy child, a garden patch, or a redeemed social condition; to know that one life has breathed easier because you lived here. This is to have succeeded.” - Ralph Waldo Emerson"
8/17/2020 12:17,Very variable but currently it is Jack Stauber,177.8,Dublin,Constantine the Great,Singapore,4,no opinion,"if Video games count, Super Smash Bros. If not, football. Sometimes baseball when they're not playing the game and doing wacky stuff",daiquiri,6,Less,1184 BC,"""Whatever you are, be a good one"""
8/17/2020 12:17,Kanye West Rap/Soul very unique,182.88,London,Shia LaBeouf ,Bora Bora,5,pizza,Basketball,hors d'oeuvre,4,More,1998,"""If people are doubting how far you can go, go so far that you can’t hear them anymore.”"
8/17/2020 12:58,Lake Street Dive ,177.8,"Cape Town, SA ",Dolly Parton ,New Zealand ,4,no opinion,Volleyball ,lieutenant,5,More,100 AD,"""People will forget what you said, people will forget what you did, but people will never forget how you made them feel."" ~ Maya Angelou "
8/17/2020 13:41,Pop ,182.88,Sydney AUS,God ,Australia/EU,4,pizza,Boxing ,hors d'oeuvre,20,More,2000 B.C,You miss 100% of the shots you don’t take- Michael scott
8/17/2020 13:43,Billie Eilish ,165.1,Dublin,Alexandria Ocasio Cortez,Bora Bora,4,pizza,Basketball,hors d'oeuvre,5,Less,3020,“The secret of getting ahead is getting started.” – Mark Twain
8/17/2020 13:44,Chief Keef,187.96,"Tel Aviv, Israel",Brian Urlacher,Israel,5,pizza,Football,hors d'oeuvre,3,Less,1000 BC,Burn the boats
8/17/2020 13:54,Billy Joel,182.88,London,Nikola Tesla,Japan,4,pizza,Fencing,daiquiri,2,Less,1893,"""Even the darkest night will end and the sun will rise"" - Les Miserables"
8/17/2020 13:56,I do not have one,162.56,Ontario CA OR Kyoto Japan,,"Tokyo, Japan",5,pizza,Soccer,daiquiri,1,Less,2018,"""If you avoid conflict to keep the peace you start a war inside yourself"" -Unknown"
8/17/2020 14:00,Kid Cudi,187.96,Vancouver,Elon Musk,Swiss Alps,5,pizza,Soccer,hors d'oeuvre,5-Apr,Less,2100,“Would I rather be feared or loved? Easy. Both. I want people to be afraid of how much they love me.”
8/17/2020 14:01,Zhou Shen,170,Guilin,living,Guilin,3,no opinion,tennis,hors d'oeuvre,People with similar interests,Less,2000,"The nightfalls used to come late in the past，

Everything was slow, the bike, the horse, and the post，

a lifetime was all but enough to be in love with one."
8/17/2020 14:16,,167.64,Chicago ,,Australia ,4,pizza,Hockey ,hors d'oeuvre,2,More,,
8/17/2020 14:17,Khalid ,172.72,"Toronto, Canada ",,"Cancun, Mexico ",5,pizza,Softball,hors d'oeuvre,5,More,1992,
8/17/2020 14:22,Frank Ocean,177.8,Barcelona,Harry Styles,Bali,5,pizza,Hockey,lieutenant,4,More,1997,"""When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.” ― Helen Keller"
8/17/2020 14:22,Post Malone,187.96,Chicago,Michael Jordan,Puerto Rico,5,pizza,Football,hors d'oeuvre,6,Less,1920's,the only place success comes before work is in the dictionary.
8/17/2020 14:38,Billie Eilish,167.64,Boston or London,Queen Elizabeth II,Europe,5,pizza,Hockey,hors d'oeuvre,5 or 6 ,Less,maybe the future im not sure what year though,“Choose a job you love and you'll never have to work a day in your life” – Confucius (this isn't very inspirational but I like it)
8/17/2020 15:00,Avenged Sevenfold,195.58,Kattegat,Chester Bennington,Egypt,5,casserole,Football,hors d'oeuvre,4,Less,1927,"""If you ain't first, you're last.""- Ricky Bobby"
8/17/2020 15:12,The Weeknd,198.12,"Denver, CO",Harrison Bader,Hawaii,5,pizza,Baseball,hors d'oeuvre,5,More,1789,"""It's hard to beat a person who never gives up."" - Babe Ruth"
8/17/2020 15:16,Taylor Swift ,167.64,Paris ,Warren Buffett,Iceland,3,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger
8/17/2020 15:42,Jack Johnson,190.5,London,Zach Braff,Hawaii,4,pizza,Football,lieutenant,3 and me for a game of euchre,Less,1999,Do or do not. There is no try. -Yoda
8/17/2020 15:44,Imagine Dragons,187.96,Tokyo,Thomas Jefferson,Tokyo,5,no opinion,Football,hors d'oeuvre,3,Less,3000,"The currents before us are ever changing. We must adapt, press forward."
8/17/2020 16:41,"This has to be one of the hardest questions that I'm ever asked, but if I had to choose it would be a very tight race for first between Cage the Elephant, Ben Folds Five, Oliver Tree, Joji, and Arctic Monkeys just to name a couple.",182.88,"Most likely Los Angeles, solely because many of my friends live there and I much prefer hot weather of cold weather.","I'm not for sure, but off the top of my head probably a musical artist like Kurt Cobain or someone like that.","Somewhere nice and warm and with a different biome/animals from anything I've encounter before, like the Philippines",5,no opinion,Football or wrestling,hors d'oeuvre,11? I have zero preference on this one.,More,Sometime far in the future to see how we've advanced as a species and world.,"""Hard work beats talent when talent doesn't work hard."" or ""Anyone can do it, but few are willing to do the work."""
8/17/2020 19:35,Taylor Swift ,167.64,Paris ,Warren Buffett,Iceland,3,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger
8/17/2020 19:39,EDM,177.8,"Wollongong, Australia",my great grandpa,Bali,5,no opinion,basketball,hors d'oeuvre,3,More,1990,believe you can and you're halfway there
8/17/2020 21:56,Taylor Swift ,167.64,Paris ,Warren Buffett,Iceland,3,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger
8/18/2020 20:36,Juice WRLD,193.04,Tokyo ,Elton John,Machu Picchu,5,pizza,Lacrosse,lieutenant,100,More,1969,"""Don't take life to serious, no one makes it out alive"""
8/20/2020 0:16,Travis Scott,175.26,Chicago,Neil Armstrong,Wherever the next fifa world cup would be,5,no opinion,Soccer,hors d'oeuvre,4,Less,2019,"""Its my decision to trust you and its your choice to break that trust"" ~ A TV Show"
8/21/2020 16:30,Taylor Swift ,167.64,Paris ,Warren Buffett,Iceland,3,no opinion,Basketball ,hors d'oeuvre,3,More,The year when I’m 30,Dream bigger
