Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. 
1/8/2019 17:10,Kip Moore,170.18,Barcelona,Ruth Bader Ginsburg,Vietnam ,5,pizza,Hockey ,hors d'oeuvre,6,More,1922,Never let the fear of striking out keep you from playing the game  
1/9/2019 11:31,Luke Combs ,177.8,Nashville ,Meghan Markle ,Tuscany Italy ,5,no opinion,Baseball ,hors d'oeuvre,3,Less,1925,"You are braver than you believe, stronger than you seem, smarter than you think, and loved more than you know"
1/9/2019 14:16,Selena Gomez,160.02,"Toronto, Ontario",SANS,"London, United Kingdom",3,no opinion,Soccer,hors d'oeuvre,3,Less,1992,The best preparation for tomorrow is doing your best today. 
1/9/2019 14:24,,172.72,"Sydney, Australia",,Fiji,3,pizza,Hockey,hors d'oeuvre,3,Less,,She dreamed she could so she did.
1/9/2019 14:26,Tiesto,182.88,Seattle,Einstein,Alps,5,casserole,Table tennis,hors d'oeuvre,7-May,Less,1400’s,The only true wisdom is in knowing you know nothing. 
1/9/2019 14:31,,167.64,"Sydney, Australia ",Meryl Streep ,Bora Bora,5,no opinion,,hors d'oeuvre,3,More,3000,It does not matter how slowly you go as long as you do not stop
1/9/2019 14:31,Toby Keith,172.72,"San Antonio, Texas",Great Grandma,Hawaii,5,pizza,Volleyball,hors d'oeuvre,3,Less,1900,"""Just do it"""
1/9/2019 14:34,Dan + Shay,187.96,"Boston, MA",Elon Musk,Amalfi Coast- Italy,3,pizza,Baseball,hors d'oeuvre,4,Less,2000,Do or do not. There is no try. 
1/9/2019 14:35,Beyoncé ,165,Tokyo,Hillary Clinton ,London,3,pizza,N/A,hors d'oeuvre,2,Less,1945,Hard work beats talent when talent doesn’t work hard.
1/9/2019 14:43,Keri Hilson,162.56,"Paris, France",Andy Warhol ,"Barcelona, Spain ",5,pizza,Competitive Cheerleading ,hors d'oeuvre,4,More,2050 to see if we still exist or if the world is too hot to live in yet... ,“Leave it better than you found it.” –Bruce A. Nordstrom
